,Te,Tint_moy,ΔT,Irr,Ptot
2023-02-06 04:00:00,2.60666666666666,19.982857142857146,17.376190476190487,-2.1547865013774072,2453.0
2023-02-06 05:00:00,2.42916666666666,19.964285714285715,17.535119047619055,-2.3220844811753825,2511.0
2023-02-06 06:00:00,2.49083333333333,19.97571428571429,17.48488095238096,-2.149047291092738,2645.0
2023-02-06 07:00:00,2.3425,19.98,17.6375,-2.175734618916436,2676.0
2023-02-06 08:00:00,2.10916666666666,19.974285714285717,17.865119047619057,-2.1519168962350728,2663.0
2023-02-06 09:00:00,2.02666666666666,19.94428571428572,17.91761904761906,9.277433425160693,2728.0
2023-02-06 10:00:00,2.90055555555555,19.984285714285715,17.083730158730166,82.75797750229567,2797.0
2023-02-06 11:00:00,4.24055555555555,19.98,15.739444444444452,250.8195592286498,2742.0
2023-02-06 12:00:00,4.66111111111111,19.945714285714285,15.284603174603175,182.6076101928368,2669.0
2023-02-06 13:00:00,5.26,19.957142857142856,14.697142857142856,173.87367998163433,2692.0
2023-02-06 14:00:00,5.99333333333333,20.002857142857145,14.009523809523817,135.58281680440703,2697.0
2023-02-06 15:00:00,6.94694444444444,19.972857142857144,13.025912698412704,135.85055096418697,2547.0
2023-02-06 16:00:00,7.41444444444444,19.99142857142857,12.576984126984131,240.56846877869523,2524.0
2023-02-06 17:00:00,7.37138888888888,19.99571428571429,12.624325396825409,32.00700183654721,2445.0
2023-02-06 18:00:00,6.57472222222222,19.957142857142856,13.382420634920635,9.635273186409544,2397.0
2023-02-06 19:00:00,5.655,20.00714285714286,14.352142857142859,-2.190943526170796,2513.0
2023-02-06 20:00:00,5.06055555555555,19.982857142857146,14.922301587301597,-2.4779040404040398,2440.0
2023-02-06 21:00:00,4.63222222222222,19.967142857142854,15.334920634920634,-2.291379706152428,2467.0
2023-02-06 22:00:00,4.035,19.978571428571428,15.943571428571428,-2.6463498622589463,2559.0
2023-02-06 23:00:00,3.37416666666666,20.014285714285712,16.640119047619052,-2.591827364554628,2579.0
2023-02-07 00:00:00,2.8225,19.95285714285714,17.130357142857143,-2.386937557392097,2540.0
2023-02-07 01:00:00,2.31666666666666,19.99428571428572,17.67761904761906,-2.612775482093657,2679.0
2023-02-07 02:00:00,2.01638888888888,19.964285714285715,17.947896825396835,-2.384354912763998,2648.0
